"Name","Position","Team","Air Yards","Targets","Expected Catches","Actual Catches","Average Depth of Target","Expected Catch Rate","Catch Rate","Expected rec Yds","Actual Rec Yds","Expected Rec TD","Actual Rec TDs","Actual PPR Points","Expected PPR Points","PPR Points +/-","Actual Half PPR Points","Expected Half PPR Points","Half PPR Points +/-","Yards after the Catch","YAC Per Catch","Actual DK","Expected DK","DK +/-","Actual FD","Expected FD","FD +/-","Expected Rush Yards","Expected Rush TD","Actual Rush F Points","Expected Rush F Points","Touches","Carries","Rush Yds","Rush TD"
"Reggie Bonnafon","RB","CAR","3","2","1.52","2","1.50","76.20%","1.00","11.39","12","0.03","0","3.20","2.82","0.40","2.20","2.06","0.10","9","4.50","3.60","3.23","0.40","2.60","2.47","0.10","4.07","0.00","0.40","0.41","3","1","4","0"
"Darrynton Evans","RB","TEN","-4","2","1.61","2","-2.00","80.55%","1.00","11.12","11","0.00","0","3.10","2.72","0.40","2.10","1.92","0.20","15","7.50","3.80","3.60","0.20","2.80","2.79","0.00","8.22","0.01","0.70","0.88","4","2","7","0"
"Trey Ragas","RB","LV","-7","2","1.76","2","-3.50","88.20%","1.00","10.90","6","0.04","0","2.60","3.09","-0.50","1.60","2.20","-0.60","13","6.50","3.50","3.53","0.00","2.50","2.65","-0.10","4.43","0.00","0.90","0.44","3","1","9","0"
"Ethan Wolf","TE","NO","2","2","1.58","2","1.00","79.05%","1.00","10.87","8","0.00","0","2.80","2.67","0.10","1.80","1.88","-0.10","6","3.00","2.80","2.67","0.10","1.80","1.88","-0.10","0.00","0.00","0.00","0.00","2","0","0","0"
"Larry Rountree III","RB","LAC","-1","2","1.41","1","-0.50","70.50%","0.50","10.09","-1","0.00","0","0.90","2.44","-1.50","0.40","1.73","-1.30","0","0.00","15.60","26.80","-11.20","15.10","26.09","-11.00","150.19","1.56","14.70","24.36","38","36","87","1"
"Nick Boyle","TE","BAL","3","2","1.49","1","1.50","74.25%","0.50","9.19","2","0.21","0","1.20","3.63","-2.40","0.70","2.89","-2.20","0","0.00","1.20","3.63","-2.40","0.70","2.89","-2.20","0.00","0.00","0.00","0.00","2","0","0","0"
"Daniel Helm","TE","LV","1","2","1.33","1","0.50","66.45%","0.50","8.54","-1","0.47","0","0.90","4.98","-4.10","0.40","4.32","-3.90","2","2.00","0.90","4.98","-4.10","0.40","4.32","-3.90","0.00","0.00","0.00","0.00","2","0","0","0"
"Ben Ellefson","TE","MIN","7","1","0.74","0","7.00","73.80%","0.00","7.85","0","0.01","0","0.00","1.58","-1.60","0.00","1.21","-1.20","0","","0.00","1.58","-1.60","0.00","1.21","-1.20","0.00","0.00","0.00","0.00","1","0","0","0"
"Nick Bawden","RB","NYJ","9","1","0.64","1","9.00","63.60%","1.00","7.82","20","0.00","0","3.00","1.42","1.60","2.50","1.10","1.40","11","11.00","3.00","1.42","1.60","2.50","1.10","1.40","0.00","0.00","0.00","0.00","1","0","0","0"
"Colin Thompson","TE","CAR","5","1","0.79","0","5.00","78.60%","0.00","7.54","0","0.01","0","0.00","1.58","-1.60","0.00","1.18","-1.20","0","","0.00","1.58","-1.60","0.00","1.18","-1.20","0.00","0.00","0.00","0.00","1","0","0","0"
